,CLE,MIL,CHA,IND,LAC,ORL,SAC,ATL,MIA,NYK,PHX,SAS,MEM,UTA,DAL,POR,DEN,BKN,TOR,CHI,NOP,PHI,DET,BOS,WAS,LAL,HOU,GSW,MIN,OKC
CLE,0.0,97.240625,99.17500000000001,96.875,96.1,95.5875,100.525,93.15937500000001,90.11875,94.9,99.6375,97.15,97.4375,92.92500000000001,97.175,94.82499999999999,96.57499999999999,98.384375,100.83125,94.45,92.225,95.1375,94.775,96.84062499999999,94.2546875,95.225,96.025,92.525,99.89999999999999,94.725
MIL,97.240625,0.0,104.275,96.646875,98.07499999999999,100.2828125,102.10000000000001,97.0529296875,99.3912109375,94.7046875,98.055859375,103.475,104.30000000000001,97.65,97.225,103.2375,95.30000000000001,99.49372558593751,93.0,99.0,101.0375,99.50625,99.1125,96.92500000000001,99.78125,101.275,101.425,104.625,103.975,98.575
CHA,99.17500000000001,104.275,0.0,104.33125000000001,102.05000000000001,99.715625,99.375,96.86250000000001,94.828125,94.94999999999999,103.125,96.0,104.8125,103.775,91.19999999999999,97.525,101.80000000000001,99.9625,99.55937499999999,98.88749999999999,99.35,95.475,99.91874999999999,99.36875,99.3875,98.7875,97.625,101.61250000000001,103.825,101.15
IND,96.875,96.646875,104.33125000000001,0.0,100.19999999999999,103.925,97.875,98.35625,93.703125,93.02031249999999,98.2125,99.875,102.7,97.4375,92.45,96.35,92.125,101.025,95.56875,98.221875,98.6125,97.13749999999999,98.0125,95.99375,95.24375,97.03750000000001,97.94999999999999,98.08749999999999,100.3375,100.6875
LAC,96.1,98.07499999999999,102.05000000000001,100.19999999999999,0.0,92.6375,98.059375,92.65,99.4125,94.2,96.28632812500001,99.865625,97.421875,94.628515625,90.61040039062499,98.940625,96.09062499999999,99.3125,94.975,98.025,93.1625,94.325,98.0,92.8375,102.375,95.5875,99.48124999999999,99.16875,102.4546875,96.01875000000001
ORL,95.5875,100.2828125,99.715625,103.925,92.6375,0.0,99.2,95.9296875,91.50625,98.61250000000001,101.975,99.5875,101.0,97.7625,96.05,97.8125,99.86250000000001,100.046875,95.2125,98.9890625,95.875,99.78125,96.37812500000001,95.609375,95.884375,98.05000000000001,100.2625,103.35,97.8,100.9
SAC,100.525,102.10000000000001,99.375,97.875,98.059375,99.2,0.0,97.44999999999999,96.9,99.67500000000001,102.54375,97.79374999999999,101.940625,99.625,91.9375,100.565625,101.753125,98.2125,98.3375,98.4,98.68125,94.6875,99.94999999999999,95.6,100.1,98.103125,104.65625,98.19999999999999,98.053125,101.565625
ATL,93.15937500000001,97.0529296875,96.86250000000001,98.35625,92.65,95.9296875,97.44999999999999,0.0,91.94375,92.076953125,99.35000000000001,99.3375,101.125,94.5625,99.41250000000001,98.625,99.05,99.5625,98.15312499999999,99.35,96.625,91.360791015625,98.1375,94.21875,97.21875,100.975,99.80000000000001,101.975,97.98750000000001,93.95
MIA,90.11875,99.3912109375,94.828125,93.703125,99.4125,91.50625,96.9,91.94375,0.0,96.6,94.75,99.775,97.475,95.57499999999999,91.85000000000001,92.0,92.05,99.23125,91.36875,94.0875,91.775,93.11875,97.053125,93.44375,92.85,99.3125,98.3,100.25,100.525,95.65
NYK,94.9,94.7046875,94.94999999999999,93.02031249999999,94.2,98.61250000000001,99.67500000000001,92.076953125,96.6,0.0,96.05000000000001,93.875,98.45,96.30000000000001,93.9,95.775,93.3125,94.275,92.81562500000001,96.37187499999999,95.425,93.203125,94.8,95.65312499999999,97.4,98.5,92.86250000000001,96.05000000000001,95.2,94.925
